label
Clear
Hippocampus
Amygdala
Caudate
Lentiform
Thalamus
CorpusCallosum
Lateral_Ventricle
Brainstem
Cerebellum
Subthalamic_Nuc
Hippocampal_Comm
Fornix
Cortical_Plate
Subplate
Inter_Zone
Prolif_Zone
White_Matter
Internal_Capsule
CSF
Gang_Em
